Gana,Kanji,Meaning,JP_Example_1,JP_Example_Pronunciation_1,JP_Example_Meaning_1,JP_Example_2,JP_Example_Pronunciation_2,JP_Example_Meaning_2
ひく,,"(사전을)찾다, (감기에)걸리다, (악기를)연주하다",帳面からいくらか金額をひいた。,ちょうめんからいくらかきんがくをひいた。,회계장부에서 금액을 공제했다.,新しい単語の意味が分からなかったので、辞書を引いた。,あたらしいたんごのいみがわからなかったので、じしょをひいた。,새로운 단어의 뜻을 몰라서 사전을 찾아봤다
ひくい,低い,낮다,東京の気温はとてもひくかったです。,とうきょうのきおんはとてもひくかったです。,토쿄의 기온은 매우 낮았습니다.,この机は低いです。,このつくえはひくいです。,이 책상은 낮습니다
ひこうき,飛行機,비행기,その ひこうき は とても おそくて、でんしゃ の ほう が はやい です。,その ひこうき は とても おそくて、でんしゃ の ほう が はやい です。,"그 비행기는 매우 느려서, 전철이 더 빠릅니다.",空港でひこうきを見ました。,くうこうでひこうきをみました。,공항에서 비행기를 보았습니다.
ひだり,左,왼쪽,ひだりてでほんをもっています。,ひだりてでほんをもっています。,왼손으로 책을 들고 있습니다.,この棚のひだり左には古い本がたくさん並んでいる。,このたなのひだりひだりにはふるいほんがたくさんならんでいる。,이 선반의 왼쪽에는 오래된 책들이 많이 줄지어 서 있다
びっくり,,깜짝 놀람,かみなりの音にびっくりした。,かみなりのおとにびっくりした。,천둥 소리에 놀랐다.,友達のサプライズにびっくりして、思わず笑ってしまった。,ともだちのサプライズにびっくりして、おもわずわらってしまった。,친구의 서프라이즈에 깜짝 놀라서 어쩔 수 없이 웃고 말았다.
ひっこす,,이사하다,私は来月、新しいアパートにひっこすつもりです。,わたしは らいげつ、 あたらしい アパートに ひっこす つもりです。,다음 달에 새 아파트로 이사할 계획입니다.,来月、私たちは新しい家にひっこす予定です。,らいげつ、わたしたちはあたらしいいえにひっこすよていです。,다음 달에 우리는 새 집으로 이사할 예정입니다
ひと,人,사람,私はひとと働くことが好きです。,わたしはひとととはたらくことがすきです。,나는 사람들과 일하는 것을 좋아합니다.,その人は私の友達です。,そのひとはわたしのともだちです。,그 사람은 내 친구입니다.
ひま,,한가함,彼は仕事が忙しくてひまがありません。,かれはしごとがいそがしくてひまがありません。,그는 일이 바빠서 한가하지 않습니다.,今日はひまです。,きょうはひまです。,오늘은 한가합니다.
びょういん,病院,병원,びょういんにいくときはいつもとくいのマスクをかけます。,びょういんにいくときはいつもとくいのマスクをかけます。,병원에 갈 때는 항상 특별한 마스크를 씁니다.,今日は病院へ行きました。,きょうはびょういんへいきました。,오늘 병원에 갔습니다.
びょうき,病気,"병, 아픔",子供がびょうきなので、学校を休みました。,こどもがびょうきなので、がっこうをやすみました。,아이가 아파서 학교를 쉬었습니다.,今日はびょうきで学校を休んでいます。,きょうはびょうきでがっこうをやすんでいます。,오늘은 아파서 학교를 쉬고 있습니다
ひらがな,,히라가나,あのひらがなのほんはとてもわかりやすいです。,あのひらがなのほんはとてもわかりやすいです。,그 히라가나 책은 매우 이해하기 쉽습니다.,日本語の教科書は、ひらがなを勉強することから始まります。,にほんごのきょうかしょは、ひらがなをべんきょうすることからはじまります。,일본어 교과서는 히라가나를 공부하는 것부터 시작합니다
ひらく,開く,"열리다, 열다",春が来れば、花々がひらきます。,はるがくれば、はなばながひらきます。,"봄이 오면, 꽃들이 핍니다.",本をひらくと新しい世界が開く。,ほんをひらくとあたらしいせかいがひらく。,책을 펼치면 새로운 세계가 열립니다
ひる,昼,낮,昼休みに公園でお弁当を食べる。,ひるやすみに こうえんで おべんとうを たべる。,낮 휴식 시간에 공원에서 도시락을 먹는다.,昼は公園でランチをします。,ひるはこうえんでランチをします。,낮에는 공원에서 점심을 먹습니다
ひろい,広い,넓다,公園の敷地はひろいです。,こうえんのしきちはひろいです。,공원의 부지는 넓습니다.,このひろい広い公園は子どもたちに人気です。,このひろいひろいこうえんはこどもたちににんきです。,이 넓은 공원은 아이들에게 인기가 있습니다
ひろう,拾う,"줍다, (택시를)잡다",落ちた貨幣をひろいました。,おちたかへいをひろいました。,떨어진 동전을 주웠다.,私は駅前でタクシーを拾った。,わたしはえきまえでタクシーをひろった。,저는 역 앞에서 택시를 잡았습니다。
プール,,수영장,夏になると、プールに行くのが楽しみです。,なつに なると、プールに いくのが たのしみです。,"여름이 되면, 수영장에 가는 것이 기대됩니다.",暑い日にはプールで泳ぐのが好きです。,あついひにはプールでおよぐのがすきです。,더운 날에는 수영장에서 수영하는 것을 좋아합니다.
ふえる,増える,늘다,私の収入がふえたので、もっと贅沢ができるようになった。,わたしのしゅうにゅうがふえたので、もっとぜいたくができるようになった。,내 수입이 늘어서 좀 더 사치를 부릴 수 있게 되었다.,子どもの数が年々ふえる。,こどものかずがねんねんふえる。,아이들의 수가 해마다 늘어난다
ふかい,深い,깊다,この池は深い。,この いけは ふかい。,이 연못은 깊다.,この森は深いです。,このもりはふかいです。,이 숲은 깊습니다.
ぶかつ,部活,동아리 활동,部活の練習に遅刻するとキャプテンに怒られます。,ぶかつのれんしゅうにちこくするとキャプテンにおこられます。,동아리 활동 연습에 지각하면 주장에게 꾸중을 듣습니다.,部活の練習は毎日忙しいですが、やりがいがあります。,ぶかつのれんしゅうはまいにちいそがしいですが、やりがいがあります。,동아리 활동의 연습은 매일 바쁘지만 보람이 있습니다
ふく,吹く,불다,風が強く吹いている。,かぜがつよくふいている。,바람이 세게 분다.,風が吹く。,かぜがふく。,바람이 분다.
ふく,服,옷,私はこの服が大好きです。,わたしはこのふくがだいすきです。,나는 이 옷을 아주 좋아합니다.,今日は新しい服を買いました。,きょうはあたらしいふくをかいました。,오늘은 새 옷을 샀습니다
ふつう,普通,보통,私は普通の学生です。,わたしはふつうのがくせいです。,나는 평범한 학생입니다.,今日は普通の一日だった。,きょうはふつうのいちにちだった。,오늘은 보통의 하루였다
ふとい,太い,굵다,彼は体がふといので、ドアを通るのが大変です。,かれは からだが ふといので、ドアを とおるのが たいへんです。,그는 체구가 굵어서 문을 통과하기가 힘듭니다.,彼はふとい指で缶のふたを開けた。,かれはふといゆびでかんのふたをあけた。,그는 굵은 손가락으로 캔의 뚜껑을 열었다
ふね,船,배,大きなふねが港を出る。,おおきなふねがみなとをでる。,큰 배가 항구를 출발한다.,このふねはとても大きいです。,このふねはとてもおおきいです。,이 배는 아주 큽니다
ふべん,不便,불편함,この部屋はずいぶんふべんですね。,この へや は ずいぶん フベン です ね。,이 방은 매우 불편합니다.,この周辺は交通の便が悪く、不便だ。,このしゅうへんはこうつうのべんがわるく、ふべんだ。,이 주변은 교통이 불편하다
ふゆ,冬,겨울,冬は雪が降る季節です。,ふゆは ゆきが ふる きせつです。,겨울에는 눈이 오는 계절입니다.,冬は雪が降る日が多い。,ふゆはゆきがふるひがおおい。,겨울에는 눈이 오는 날이 많다
ふる,降る,(비가)내리다,今夜は雪がふるでしょう。,こんやはゆきがふるでしょう。,오늘 밤에는 눈이 올 것입니다.,雨が降ると、道がぬれて滑りやすくなる。,あめがふると、みちがぬれて、すべりやすくなる。,비가 오면 길이 젖어 미끄럽기 쉽다
ふるい,古い,오래되다,その建物はふるい。,そのたてものはふるい。,그 건물은 오래되었다.,この古い本はまだ読めます。,このふるいほんはまだよめます。,이 오래된 책은 아직 읽을 수 있습니다
プレゼント,,(특정한 날)선물,彼女の誕生日にプレゼントを用意しました。,かのじょの たんじょうびに プレゼントを よういしました。,그녀의 생일에 선물을 준비했습니다.,特定の日には、友達にプレゼントを渡すことにしている。,とくていのひには、ともだちにプレゼントをわたすことにしている。,특정한 날에는 친구에게 선물을 주기로 하고 있다
ふろ,風呂,"목욕, 목욕탕",毎日夜ふろに入ります。,まいにちよるふろにはいります。,매일 밤 목욕탕에 들어갑니다.,風呂に入ると心も体も温まります。,ふろにはいるとこころもからだもあたたまります。,목욕을 하면 마음과 몸이 따뜻해집니다
ぶんか,文化,문화,日本のぶんかは古くから受け継がれてきました。,にほんのぶんかはふるくからうけつがれてきました。,일본의 문화는 오랫동안 전해져 내려왔습니다.,この本では、ぶんか文化文化という言葉が頻繁に使われている。,このほんでは、ぶんかぶんかぶんかということばがひんぱんにつかわれている。,이 책에서는 'ぶんか文化文化'이라는 말이 자주 사용되고 있습니다
ぶんかさい,文化祭,"학교 축제, 문화제",学校の文化祭では、クラスごとに出し物をする。,がっこうのぶんかさいでは、クラスごとにだしものをする。,학교 문화제에서는 각 반마다 공연을 한다.,来週、学校の文化祭が開かれます。,らいしゅう、がっこうのぶんかさいがひらかれます。,다음 주에 학교의 문화제가 열립니다
へいき,平気,"아무렇지 않음, 걱정 없음",彼の態度にあまり平気でいられない。,かれの たいどに あまり へいきで いられない。,그의 태도에 별로 걱정없이 있을 수 없다.,彼はどんなことがあっても平気だ。,かれはどんなことがあってもへいきだ。,그는 어떤 일에도 아무렇지 않다
へえ,,"어머, 와, 어?",へえ、そうなんですか。,へえ、そうなんですか。,"어머, 그렇군요.",へえ、そんなことがあるんだ。,へえ、そんなことがあるんだ。,"우와, 그런 일이 있구나"
へた,下手,서투름,彼は絵を描くのがへたです。,かれは えを かくのが へたです。,그는 그림 그리는 것을 서투르다.,私は絵を描くのがへたです。,わたしはえをかくのがへたです。,그림을 그리는 것이 서툰 편입니다
べつ,別,"구별, 특별, 별도",今日のご飯は、別のお店で食べましょう。,きょうのごはんは、べつのおみせでたべましょう。,오늘 저녁은 다른 가게에서 먹읍시다.,この二つは別の意味で使われる。,このふたつはべつのいみでつかわれる。,이 두 가지는 다른 의미로 사용된다
ペット,,애완동물,私はペットを飼っています。,わたしはペットをかっています。,저는 애완동물을 기르고 있습니다.,私のペットは犬です。,わたしのペットはいぬです。,내 애완동물은 개입니다
ベッド,,침대,私はベッドで読書をするのが好きです。,わたしは ベッド で どくしょ を する の が すき です。,나는 침대에서 책 읽는 것을 좋아합니다.,私はベッドで本を読みました。,わたしはベッドでほんをよみました。,나는 침대에서 책을 읽었습니다.
へや,部屋,방,へやにあるほんをよんでいる。,へやにあるほんをよんでいる。,방에 있는 책을 읽고 있다.,私の部屋は狭いです。,わたしのへやはせまいです。,제 방은 좁습니다
へる,減る,줄다,体重がへってきた。,たいじゅうがへってきた。,체중이 줄어들었다.,この地域の人口は毎年減っています。,このちいきのじんこうはまいねんへっています。,이 지역의 인구는 매년 줄어들고 있습니다。
ペン,,펜,私はペンでメモを書きます。,わたしはペンでメモをかきます。,나는 펜으로 메모를 씁니다.,このペンはとても書きやすいです。,このペンはとてもかきやすいです。,이 펜은 아주 쓰기 편합니다
へん,辺,"부근, 근처",那覇の辺にいい飲み屋がありますよ。,なはのへんにいいのみやがありますよ。,제주도 근처에 좋은 술집이 있습니다.,このへんには公園が多いです。,このへんにはこうえんがおおいです。,이 근처에는 공원이 많습니다
べんきょう,勉強,공부,勉強しないとテストに合格できません。,べんきょうしないとテストにごうかくできません。,공부하지 않으면 시험에 합격할 수 없습니다.,私は毎日べんきょうをしています。,わたしはまいにちべんきょうをしています。,저는 매일 공부를 하고 있습니다.
へんじ,返事,"대답, 답장",へんじをちゃんとするのがまっとうだ。,へんじをちゃんとするのがまっとうだ。,답장을 제대로 하는 것이 바른 길이다.,友だちからのへんじをまだ待っている。,ともだちからのへんじをまだまっている。,아직 친구의 답장을 기다리고 있다
べんとう,弁当,도시락,母はいつも美味しいべんとうを作ってくれる。,はは は いつも おいしい べんとう を つくって くれる。,어머니는 항상 맛있는 도시락을 만들어 주신다.,昼休みにべんとうを食べます。,ひるやすみにべんとうをたべます。,점심 시간에 도시락을 먹습니다.
べんり,便利,편리함,携帯電話はとても便利な道具ですね。,けいたいでんわはとてもべんりなどうぐですね。,휴대 전화는 매우 편리한 도구입니다.,このアプリはとてもべんりで、予定の管理が楽になります。,このあぷりはとてもべんりで、よていのかんりがらくになります。,이 앱은 아주 편리해서 일정 관리가 쉬워집니다.
ホームステイ,,홈스테이,ホームステイ中は、ホストファミリーと生活を共にしました。,ほーむすてい ちゅうは、ほすと ふぁみりーと せいかつを ともに しました。,홈스테이 중에는 호스트 가족과 생활을 함께했습니다.,夏休みにホームステイをします。,なつやすみにホームステイをします。,여름방학에 홈스테이를 합니다
ほう,方,쪽,お好みの方へどうぞ。,おこのみのかたへどうぞ。,취향대로 하세요.,右の方へ行ってください。,みぎのほうへいってください。,오른쪽으로 가세요
ぼうし,帽子,모자,私はぼうしをかぶっています。,わたしはぼうしをかぶっています。,나는 모자를 쓰고 있습니다.,私は帽子をかぶっています。,わたしはぼうしをかぶっています。,저는 모자를 쓰고 있습니다.
ほか,外・他,"다른 것, 바깥",次の駅以外に、ほかの出口はありませんか。,つぎのえきいがいに、ほかのでぐちはありませんか。,"다른 역 이외에, 다른 출구가 있습니까?",ほかの人たちは外で待っています。,ほかのひとたちはそとでまっています。,다른 사람들은 밖에서 기다리고 있습니다
ぼく,,(남성)나,僕の好きな食べ物はピザです。,ぼくの すきな たべものは ピザです。,나의 좋아하는 음식은 피자입니다.,ぼくは公園で友達と話しています。,ぼくはこうえんでともだちと話しています。,나는 공원에서 친구들과 대화하고 있습니다
ほし,星,별,夜空に輝くほしを見上げた。,よぞらにかがやくホシをみあげた。,밤하늘에 반짝이는 별을 올려다보았다.,夜空にはたくさんのほしが輝いています。,よぞらにはたくさんのほしがかがやいています。,밤하늘에는 많은 별이 빛나고 있습니다
ほしい,,"원하다, 갖고 싶다",この本がほしいです。,このほんがほしいです。,이 책을 갖고 싶습니다.,新しい靴がほしいです。,あたらしいくつがほしいです。,새 신발이 갖고 싶습니다
ほそい,細い,가늘다,あの道は細い。,あのみちはほそい。,그 길은 가늘다.,この糸は細いです。,このいと は ほそいです。,이 실은 가늘습니다
ホテル,,호텔,東京にあるホテルに泊まりました。,とうきょうにあるホテルにとまりました。,토쿄에 있는 호텔에 묵었습니다.,私は日本語の練習として、ホテルホテルと繰り返して言った。,わたしはにほんごのれんしゅうとして、ホテルホテルとくりかえしていった。,나는 일본어 연습으로 호텔호텔이라고 반복해서 말했다
ほとんど,,"거의, 대부분",おもちゃはほとんど壊れていました。,おもちゃはほとんどこわれていました。,대부분의 장난감이 망가졌습니다.,ほとんど毎日コーヒーを飲みます。,ほとんどまいにちこーひーをのみます。,거의 매일 커피를 마십니다
ほめる,,칭찬하다,両親は子供のよく頑張ったことをほめます。,りょうしん は こども の よく がんばった こと を ほめます。,부모님은 아이가 열심히 한 것을 칭찬합니다.,先生は子どもをほめる。,せんせいはこどもをほめる。,선생님은 아이를 칭찬합니다
ボランティア,,자원봉사(자),私はボランティア活動に参加しています。,わたしはボランティアかつどうにさんかしています。,나는 자원봉사활동에 참가하고 있습니다.,私はボランティア活動に参加しています。,わたしはボランティアかつどうにさんかしています。,나는 자원봉사 활동에 참여하고 있습니다
ほん,本,책,私はほんを読むのが好きです。,わたしはほんをよむのがすきです。,나는 책 읽는 것을 좋아합니다.,この本はとてもおもしろいです。,このほんはとてもおもしろいです。,이 책은 매우 재미있습니다
ほんとう,本当,정말,この本はほんとう面白いです。,この ほんは ほんとう おもしろいです。,이 책은 정말 재미있습니다.,これは本当の話です。,これはほんとうのはなしです。,이것은 사실 이야기입니다
まあ,,"어머, 그럭저럭, 뭐",私の人生はまあまあですね。,わたしのじんせいはまあまあですね。,내 인생은 그럭저럭이에요.,まあ、そんなに急がなくても大丈夫ですよ。,まあ、そんなにいそがなくてもだいじょうぶですよ。,"음, 그렇게 서둘러지 않아도 괜찮아요"
まい,毎-,매~,毎日新しい経験をする。,まいにち あたらしい けいけんを する。,매일 새로운 경험을 한다.,毎回この店を利用します。,まいかいこのみせをりようします。,매번 이 가게를 이용합니다
まいる,,"오다, 가다(겸양)",まいりました。,まいりました。,왔습니다.,私は会議に参ります。,わたしはかいぎにまいります。,저는 회의에 참석합니다
まえ,前,"앞, 전",その建物のまえに立ち止まりました。,そのたてもののまえにたちどまりました。,그 건물 앞에 서 있었습니다.,学校の前には大きな門があります。,がっこうのまえにはおおきなもんがあります。,학교 앞에는 큰 문이 있습니다
まがる,曲がる,(길을)돌다,道がまがっているところがあります。,みちがまがっているところがあります。,길이 굽은 곳이 있습니다.,この道を右へ曲がると、次の信号が見えます。,このみちをみぎへまがると、つぎのしんごうがみえます。,이 길을 오른쪽으로 꺾으면 다음 신호등이 보입니다。
まける,,"지다, 패배하다",試合で最後までまけませんでした。,しあいでさいごまでまけませんでした。,경기에서 끝까지 지지 않았습니다.,試合でまけるのは悔しい。,しあいでまけるのはくやしい。,경기에서 지는 것은 속상하다
まじめ,,성실함,彼はまじめな性格で、宿題を忘れることはありません。,かれはまじめなせいかくで、しゅくだいをわすれることはありません。,"그는 성실한 성격이라서, 숙제를 잊는 일이 없습니다.",彼はとてもまじめです。,かれはとてもまじめです。,그는 매우 성실합니다.
まず,,"먼저, 우선",まずは朝から運動するのがいいでしょう。,まずは あさ から うんどう するのが いいでしょう。,먼저 아침부터 운동하는 것이 좋겠습니다.,まず、状況を整理しましょう。,まず、じょうきょうをせいりしましょう。,먼저 상황을 정리합시다
まずい,,"맛없다, 서투르다, 거북하다",この料理はまずいですね。,この りょうり は まずい です ね。,이 요리는 맛없습니다.,このスープはまずいです。,このすうぷはまずいです。,이 수프는 맛없습니다
また,,또,また、東京に行きたいと思っています。,また、とうきょうにいきたいとおもっています。,"또, 동경에 가고 싶다고 생각하고 있습니다.",また明日お会いしましょう。,またあしたおあいしましょう。,내일 또 뵙겠습니다
まだ,,아직,仕事は大変だけれども、まだ頑張らなければならない。,しごとはたいへんだけれども、まだがんばらなければならない。,"일은 힘들지만, 아직 노력해야 한다.",私はまだ日本語を勉強しています。,わたしはまだにほんごをべんきょうしています。,저는 아직 일본어를 공부하고 있습니다
まだまだ,,아직도,まだまだ勉強が足りない。,まだまだべんきょうがたりない。,아직도 공부가 부족하다.,この課題はまだまだ難しい。,このかだいはまだまだむずかしい。,이 과제는 아직도 어렵다
まち,町,"도시, 마을",東京にはたくさんのまちがある。,とうきょうにはたくさんのまちがある。,도쿄에는 많은 마을이 있다.,この町には公園がたくさんあります。,このまちにはこうえんがたくさんあります。,이 마을에는 공원이 많습니다
まつ,待つ,기다리다,彼女はドアの前でまつことにした。,かのじょはドアのまえでまつことにした。,그녀는 문 앞에서 기다리기로 했다.,私は駅で友達を待つ。,わたしはえきでともだちをまつ。,나는 역에서 친구를 기다립니다
まっすぐ,,곧장,道路はまっすぐ伸びている。,みちはまっすぐのびている。,길이 곧장 뻗어 있다.,まっすぐ進んでください。,まっすぐすすんでください。,직진해 주세요
まど,窓,창문,まどからのぞくと、木々が風に揺れていた。,まどからのぞくと、きぎがかぜにゆれていた。,"창문 밖을 내다보니, 나무들이 바람에 휘날리고 있었다.",窓から朝の光が差し込む。,まどからあさのひかりがさしこむ。,창문으로 아침 햇살이 들어온다.
まにあう,間に合う,시간에 대다,車を急いで運転しないと、電車に間に合わない。,くるまをいそいでうんてんしないと、でんしゃにまにあわない。,서두르지 않으면 전철을 놓치게 된다.,試験には間に合うように早く家を出た。,しけんにはまにあうようにはやくいえをでた。,시험에 제시간에 맞추려고 일찍 집을 나갔다
まもる,守る,지키다,私は彼女を守ります。,わたしはかのじょをまもります。,나는 그녀를 지킬 것입니다.,私は家族を守るために日々努力している。,わたしはかぞくをまもるためにひびどりょくしている。,나는 가족을 지키기 위해 매일 노력하고 있다
まるい,丸い,둥글다,この地球はまるいです。,この ちきゅう は まるい です。,이 지구는 둥글다.,このボールは丸いです。,このボールはまるいです。,이 공은 둥글습니다
まわる,,"(주위를)돌다, (시간이)지나다",世界はまわり続けている。,せかいはまわりつづけている。,세상은 계속해서 돌아간다.,自転車で町の周りをまわると、時間があっという間に過ぎる。,じてんしゃでまちのまわりをまわると、じかんがあっというまにすぎる。,"자전거로 마을의 주위를 도르면, 시간이 순식간에 흘러간다"
まんが,漫画,만화,僕は小さい頃からまんがが大好きでした。,ぼくは ちいさい ころから まんがが だいすき でした。,저는 어렸을 때부터 만화를 정말 좋아했습니다.,私は毎日まんがを読んでいます。,わたしはまいにちまんがをよんでいます。,나는 매일 만화를 읽고 있습니다.
まんなか,,한가운데,この広場はまんなかに噴水がある。,この ひろば は まんなか に ふんすい が ある。,이 광장의 한가운데에는 분수가 있다.,公園のまんなかに大きな噴水があります。,こうえんのまんなかにおおきなふんすいがあります。,공원의 한가운데에 큰 분수가 있습니다
みえる,見える,"보이다, 오시다",富士山から景色がよくみえる。,ふじさんからけしきがよくみえる。,富士산에서 경치가 잘 보인다.,夜空に星が見える。,よぞらにほしがみえる。,밤하늘에 별이 보인다
みがく,,닦다,私はいつも机をみがいて、きれいに保ちます。,わたしはいつもつくえをみがいて、きれいにたもちます。,나는 항상 책상을 닦아서 깨끗하게 유지합니다.,毎朝、歯をみがく。,まいあさ、はをみがく。,매일 아침 이를 닦습니다
みかん,,귤,私はみかんが大好きです。,わたしはみかんがだいすきです。,나는 귤을 아주 좋아합니다.,今日はみかんを食べました。,きょうはみかんをたべました。,오늘은 귤을 먹었습니다.
みぎ,右,오른쪽,右手で物を持ってください。,みぎてでものをもってください。,오른손으로 물건을 잡으세요.,みぎがわに公園があります。,みぎがわにこうえんがあります。,오른쪽에 공원이 있습니다.
みじかい,短い,짧다,夏休みは、みじかいです。,なつやすみは、みじかいです。,여름방학은 짧습니다.,この本はみじかいです。,このほんはみじかいです。,이 책은 짧습니다
みず,水,물,手をみずですすぐのがいいでしょう。,てをみずですすぐのがいいでしょう。,손을 물로 씻는 것이 좋겠습니다.,みずをのみます。,みずをのみます。,물을 마십니다.
みせ,店,가게,私はこの町の古い本屋みせに行くのが好きです。,わたしはこのまちのふるいほんやみせにいくのがすきです。,나는 이 마을의 오래된 서점에 가는 것을 좋아합니다.,このみせには季節の食べ物がたくさんあります。,このみせにはきせつのたべものがたくさんあります。,이 가게에는 계절 음식이 많이 있습니다.
みせる,見せる,보여주다,子供にタブレットでアニメを見せました。,こどもに　タブレットで　アにめを　みせました。,아이에게 태블릿으로 애니메이션을 보여주었습니다.,友達に写真を見せる。,ともだちにしゃしんをみせる。,친구에게 사진을 보여 주다
みち,道,길,私は新しい人生のみちを見つけた。,わたしは あたらしい じんせいの みちを みつけた。,나는 새로운 인생의 길을 찾았다.,みちは私にとって大切な道です。,みちはわたしにとってたいせつなみちです。,길은 내게 소중한 길입니다
みどり,緑,녹색,お寺の庭には美しいみどりが広がっていた。,おてらのにわにはうつくしいみどりがひろがっていた。,절 정원에는 아름다운 녹색이 펼쳐져 있었다.,庭にはみどりがいっぱいです。,にわにはみどりがいっぱいです。,정원에는 초록이 가득합니다.
みなみ,南,남쪽,東京のみなみにある公園が好きです。,とうきょうのみなみにあるこうえんがすきです。,도쿄의 남쪽에 있는 공원이 좋아요.,みなみの方向には大きな川が流れている。,みなみのほうこうにはおおきなかわがながれている。,남쪽 방향에는 큰 강이 흐르고 있다
みみ,耳,귀,みみがいたくてなかなかねむれません。,みみがいたくてなかなかねむれません。,귀가 아파서 잠을 잘 수 없습니다.,風邪をひいてみみが痛い。,かぜをひいてみみがいたい。,감기에 걸려 귀가 아프다.
みる,見る,보다,私は毎朝朝早く目を覚ましてテレビをみる。,わたしはまいあさあさはやくめをさましててれびをみる。,나는 매일 아침 일찍 눈을 떠서 텔레비전을 본다.,子どもの学力は見る見るうちに伸びた。,こどものがくりょくはみるみるうちにのびた。,아이의 학력은 눈 깜박할 사이에 늘어났다
みんな/みな,,모두,私のクラスの みんな が公園に行きました。,わたしのくらすの みんな がこうえんにいきました。,제 반 모두가 공원에 갔습니다.,みんなで宿題を終えました。,みんなでしゅくだいをおえました。,우리는 모두 함께 숙제를 끝냈습니다
むかえる,迎える,맞이하다,両親は子供たちを空港でむかえる予定です。,りょうしん は こどもたち を くうこう で むかえる よてい です。,부모님들은 자녀들을 공항에서 맞이할 예정입니다.,空港で友だちをむかえる。,くうこうでともだちをむかえる。,공항에서 친구를 맞이하다
むかし,昔,옛날,昔は暮らしがよりラクだった。,むかしはくらしがよりラクだった。,옛날에는 생활이 더 편했다.,むかし、私は山でよく遊んだ。,むかし、わたしはやまでよくあそんだ。,옛날에는 저는 산에서 자주 놀았습니다.
むこう,向こう,맞은편,公園のむこうに高い建物が見えます。,こうえんのむこうにたかいたてものがみえます。,공원 맞은편에 높은 건물이 보입니다.,むこう向こうには公園がある。,むこうむこうにはこうえんがある。,저 건너편에는 공원이 있다
むずかしい,難しい,어렵다,その試験はとてもむずかしかったです。,そのしけんはとてもむずかしかったです。,그 시험은 정말 어려웠습니다.,この問題はむずかしいです。,このもんだいはむずかしいです。,이 문제는 어렵습니다
むすこ,,아들,私のむすこは大学生です。,わたしのむすこはだいがくせいです。,제 아들은 대학생입니다.,私のむすこは大学生です。,わたしのむすこはだいがくせいです。,내 아들은 대학생입니다.
むすめ,,딸,私のむすめは大学生です。,わたしのむすめはだいがくせいです。,나의 딸은 대학생입니다.,私のむすめは今日も元気です。,わたしのむすめはきょうもげんきです。,내 딸은 오늘도 건강합니다.
むり,無理,"무리, 곤란함",今日の課題は難しすぎてムリだった。,きょうのかだいはむずかしすぎてムリだった。,오늘의 과제는 너무 어려워서 힘들었다.,こんな難しい課題を一日で終わらせるのはむりです。,こんなむずかしいかだいをいちにちでおわらせるのはむりです。,이런 아주 어려운 과제를 하루 만에 끝내는 것은 불가능합니다
め,目,눈,私の目は大きいです。,わたしのめはおおきいです。,나의 눈은 큽니다.,彼のめ目が大きくて印象的だ。,かれのめがおおきくていんしょうてきだ。,그의 눈은 크고 인상적이다
メール,,"메일, 전자우편",仕事で重要なメールを送る必要がありました。,しごとで じゅうような メールを おくる ひつようが ありました。,업무에서 중요한 메일을 보낼 필요가 있었습니다.,新しいメールが届きました。,あたらしいメールがとどきました。,새로운 메일이 도착했습니다
めいわく,,"폐, 귀찮음",彼の態度がめいわくになっている。,かれの たいど が めいわく に なっている。,그의 태도가 폐가 되고 있다.,大声で話すのは迷惑だ。,おおごえではなすのはめいわくだ。,큰 소리로 말하는 것은 귀찮음이다
めがね,,안경,このおじいさんはめがねをかけています。,このおじいさんはめがねをかけています。,이 할아버지는 안경을 쓰고 계십니다.,私はめがねをかけています。,わたしはめがねをかけています。,저는 안경을 쓰고 있습니다.
めしあがる,,드시다,お母さんは夕食をめしあがっています。,おかあさんは　ゆうしょくを　めしあがって　います。,어머니께서는 저녁식사를 드시고 있습니다.,社長は朝食をめしあがる。,しゃちょうはちょうしょくをめしあがる。,회장님은 아침 식사를 드신다
めずらしい,,"드물다, 희귀하다",東京に住んでいる友人が、めずらしい植物を育てている。,とうきょうにすんでいるともだちが、めずらしいしょくぶつをそだてている。,토쿄에 사는 친구가 희귀한 식물을 기르고 있다.,この花はめずらしいです。,このはなはめずらしいです。,이 꽃은 드물습니다
メニュー,,메뉴,このレストランではメニューが豊富です。,このれすとらんでは めにゅー が ほうふ です。,이 레스토랑에서는 메뉴가 풍부합니다.,レストランのメニューを見せてください。,れすとらんのめにゅうをみせてください。,레스토랑의 메뉴를 보여 주세요.
もう,,"벌써, 이미, 더",もう一歩で目的地に着く。,もう いっぽで もくてきちに つく。,벌써 한 걸음만 더 가면 목적지에 도착한다.,もう宿題を終えました。,もうしゅくだいをおえました。,벌써 숙제를 끝냈습니다
もうす,申す,말하다(겸양),私は申し上げたことをお詫び申し上げます。,わたしはもうしあげたことをおわびもうしあげます。,나는 말씀드린 것에 대해 사과드립니다.,私は田中と申します。,わたしはたなかともうします。,저는 다나카라고 합니다
もえる,,타다,燃える木材から煙が立ち上がる。,もえるもくざいからけむりがたちあがる。,타오르는 목재에서 연기가 피어오른다.,彼は音楽に燃える。,かれはおんがくにもえる。,그는 음악에 불타오른다
